Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,mae,mse,r2,rmse
2022-03-01 23:45:53,18ms,c501d1588c1e45bd8117dc495e7b6183,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,3,,,,2,2,,1495,,,,,,178025.27308996924,68973201905.92358,0.7563367741938967,262627.49647727975
2022-03-01 23:42:37,16ms,0f6dc63e7a3d49209bd5230f2ec7709e,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,2,,2125,,,,,,178029.8129707697,68989230810.09235,0.7562801485133719,262658.01112871536
2022-03-01 23:41:45,16ms,4aa0da5248844f6cb9ef466ca41d8683,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,2,,1975,,,,,,178042.4880298372,69044273874.32828,0.7560856966071334,262762.77109653165
2022-03-01 23:41:35,17ms,4b12d2bbca984b9d8f9d8b0811f7ad8d,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,3,,,,2,2,,1735,,,,,,178043.20256183555,69026690613.24362,0.7561478134002891,262729.31053318665
2022-03-01 23:42:27,18ms,3ec72601d3af4d1baf51053fd11bde15,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,3,,,,2,2,,1330,,,,,,178059.2563079312,69037860366.57059,0.7561083537543412,262750.56682445155
2022-03-01 23:42:53,16ms,35a9a1580f964ba8af17ada2005cfae8,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,2,,1930,,,,,,178066.721005174,69032249699.23306,0.7561281746886259,262739.88981354365
2022-03-01 23:46:17,18ms,255ff38bbda4443386ce2a866a456b19,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,2,,2065,,,,,,178071.23575440864,69059033355.8543,0.7560335554453419,262790.854779717
2022-03-01 23:38:18,25ms,9f34548b423946eb8a2dd5261b9c2d3f,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,2,,2155,,,,,,178075.01204708486,69006116184.32259,0.7562204971612497,262690.1524311914
2022-03-01 23:37:46,15ms,51756581241f45729741e8ae674161fe,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,5,,910,,,,,,178087.67696854833,69042422917.8027,0.7560922355240661,262759.24896719184
2022-03-01 23:45:21,20ms,4edb35292fdd470487f65b1594f235a3,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,4,,,,2,2,,1705,,,,,,178094.22409888936,69035252949.93687,0.7561175650353957,262745.6050059389
